Food-Name,"Energy-
-kJ","Protein-
-g","Fat
-g","carbohydrate
-g",sugars-g,"Sodium-Na-
-mg","Zinc-Zn-
-mg","Folate
-ug","Pyridoxine-B6-
-mg","Cobalamin-B12-
-ug","Vitamin-D3
-ug","Vitamin-C-
-mg","Vitamin-A
-ug","Iron-Fe-
-mg","Calcium-Ca-
-mg","Selenium-Se-
-ug",per-100g
"Lamb, loin chop, lean, grilled, no added fat",843,29.8,9.1,0,0,74,4.2,17,0.09,1.2,1.5,0,8,2.8,11,23,per 100g
"Lamb, loin chop, semi-trimmed, raw",856,26.6,10.9,0,0,65,2.54,15,0.18,0.8,2.74,0,11,1.73,8,8.9,per 100g
"Lamb, loin chop, semi-trimmed, grilled, no added fat",953,28.7,12.6,0,0,70,3.95,16,0.09,1.3,1.51,0,10,2.63,11,21.2,per 100g
"Lamb, loin chop, untrimmed, raw","1,276",22,24.4,0,0,53,1.97,12,0.16,1.4,2.15,0,18,1.35,7,6.3,per 100g
"Lamb, loin chop, untrimmed, grilled, no added fat","1,154",26.8,18.9,0,0,64,3.49,14,0.09,1.6,1.52,0,15,2.33,10,17.9,per 100g
"Lamb, mince, raw",602,20.4,6.9,0,0,57,3.72,17,0.56,1.7,3,0,12,1.77,13,0,per 100g
"Lamb, mince, stir-fried, no added fat",729,24.4,8.5,0,0,74,4.8,0,0.1,2.1,0.75,0,11,5,11,10,per 100g
"Lamb, mini roast, lean, roasted, no added fat",680,27.8,5.6,0,0,58,4.7,17,0.05,2.3,1.5,0,8,2.7,5,30,per 100g
"Lamb, mini roast, semi-trimmed, roasted, no added fat",779,27.1,8.6,0,0,56,4.47,16,0.05,2.3,1.51,0,10,2.57,5,28.1,per 100g
"Lamb, mini roast, untrimmed, roasted, no added fat",858,26.5,11,0,0,55,4.28,15,0.06,2.4,1.51,0,11,2.47,5,26.6,per 100g
"Lamb, roasting piece, leg or mini roast, lean, raw",512,21.5,4,0,0,66,3.75,17,0.1,0.8,3,0,9,2.15,5,20,per 100g
"Lamb, roasting piece, leg or mini roast, lean, roasted, no added fat",711,29.2,5.8,0,0,62,5,17,0.05,2.2,1.5,0,8,2.65,5,30,per 100g
"Lamb, roasting piece, leg or mini roast, semi-trimmed, raw",633,20.8,7.6,0,0,62,3.53,16,0.1,0.9,2.84,0,10,2.03,5,18.6,per 100g
"Lamb, roasting piece, leg or mini roast, semi-trimmed, roasted, no added fat",810,28.4,8.8,0,0,59,4.74,16,0.05,2.3,1.51,0,10,2.52,5,28.1,per 100g
"Lamb, roasting piece, leg or mini roast, untrimmed, raw",784,19.9,12,0,0,59,3.26,15,0.1,1.1,2.65,0,12,1.89,5,17,per 100g
"Lamb, roasting piece, leg or mini roast, untrimmed, roasted, no added fat",908,27.5,11.9,0,0,57,4.48,15,0.06,2.3,1.51,0,12,2.4,5,26.2,per 100g
"Lamb, steak, boneless, lean, raw",546,21.9,4.7,0,0,63,3.4,17,0.1,0.8,3,0,9,2.2,4,20,per 100g
"Lamb, steak, boneless, lean, grilled, no added fat",769,30.8,6.6,0,0,75,4.79,16,0.09,0.8,3.8,0,9,2.94,6,28.2,per 100g
"Lamb, steak, boneless, semi-trimmed, raw",662,21.2,8.2,0,0,60,3.21,16,0.1,0.9,2.85,0,10,2.08,4,18.7,per 100g
"Lamb, steak, boneless, semi-trimmed, grilled, no added fat",863,29.9,9.6,0,0,72,4.55,16,0.09,1,3.66,0,11,2.8,6,26.4,per 100g
"Lamb, steak, boneless, untrimmed, raw",782,20.4,11.8,0,0,58,3.02,15,0.1,1,2.69,0,12,1.96,4,17.3,per 100g
"Lamb, steak, boneless, untrimmed, grilled, no added fat",937,29.2,11.9,0,0,70,4.36,15,0.09,1.1,3.55,0,13,2.69,6,25,per 100g
"Lamb, with bone, shin, lean, raw",477,23.9,1.9,0,0,110,5.7,17,0.1,0.8,3,0,0,1.9,15,20,per 100g
"Lamb, with bone, shin, lean, casseroled, no added fat",755,34.6,4.5,0,0,83,10,17,0.05,2.2,1.5,0,0,3.6,20,30,per 100g
"Lamb, with bone, shin, semi-trimmed, raw",617,22.9,6.2,0,0,103,5.3,16,0.1,1,2.82,0,3,1.78,14,18.5,per 100g
"Lamb, with bone, shin, semi-trimmed, casseroled, no added fat",852,33.4,7.7,0,0,79,9.41,16,0.05,2.2,1.51,0,3,3.41,19,28,per 100g
"Lamb, with bone, shin, untrimmed, raw",785,21.7,11.2,0,0,95,4.83,14,0.1,1.2,2.61,0,6,1.65,13,16.6,per 100g
"Lamb, with bone, shin, untrimmed, casseroled, no added fat",965,32,11.4,0,0,75,8.73,15,0.06,2.3,1.51,0,6,3.19,18,25.8,per 100g
"Lamb, stir-fry strips, lean, raw",528,21.9,4.2,0,0,53,4.3,17,0.09,0.7,3,0,9,2.2,5,15,per 100g
"Lamb, stir-fry strips, lean, stir-fried, no added fat",763,28.1,7.7,0,0,59,2.6,17,0.05,2.3,1.5,0,8,3.7,5,17,per 100g
"Lamb, stir-fry strips, lean, casseroled, no added fat",776,32.2,6.2,0,0,43,6.01,14,0.07,0.6,3.97,0,9,3.07,8,21,per 100g
"Lamb, stir-fry strips, untrimmed, raw",578,21.6,5.7,0,0,52,4.19,16,0.09,0.8,2.94,0,9,2.15,5,14.6,per 100g
"Lamb, stir-fry strips, untrimmed, stir-fried, no added fat",781,28,8.3,0,0,59,2.58,16,0.05,2.3,1.5,0,8,3.66,5,16.8,per 100g
"Lamb, stir-fry strips, untrimmed, casseroled, no added fat",794,32,6.8,0,0,43,5.94,13,0.07,0.6,3.94,0,10,3.04,8,20.7,per 100g
"Mutton, all cuts, separable fat, raw","2,522",8.2,64.4,0,0,33,0.99,0,0.1,2.9,0.7,0,64,0.77,10,10,per 100g
"Mutton, all cuts, separable fat, cooked","2,694",10.7,67.9,0,0,64,5.9,0,0.3,1.3,1.6,0,6,3.4,8,0,per 100g
"Mutton, boneless dice or strips, shoulder, lean, raw",518,21.3,4.2,0,0,61,2.9,17,0.8,2.8,3,0,8,2.2,5,0,per 100g
"Mutton, boneless dice or strips, shoulder, lean, casseroled, no added fat","1,041",36.4,11.4,0,0,66,8.9,0,0.5,1.9,1.5,0,8,5.7,20,10,per 100g
"Mutton, boneless dice or strips, shoulder, semi-trimmed, raw",678,20.2,9,0,0,59,2.75,16,0.74,2.8,2.82,0,12,2.08,5,0.8,per 100g
"Mutton, boneless dice or strips, shoulder, semi-trimmed, casseroled, no added fat","1,115",35.2,13.9,0,0,66,8.76,0,0.49,1.9,1.5,0,8,5.6,19,9.6,per 100g
"Mutton, boneless dice or strips, shoulder, untrimmed, raw",716,20,10.2,0,0,58,2.71,15,0.73,2.8,2.77,0,13,2.06,5,1,per 100g
"Mutton, boneless dice or strips, shoulder, untrimmed, casseroled, no added fat","1,137",34.9,14.7,0,0,66,8.72,0,0.49,1.9,1.5,0,8,5.56,19,9.4,per 100g
"Mutton, roasting piece, with bone, leg, lean, raw",509,21.6,3.8,0,0,80,4.9,17,0.8,2.8,3,0,8,4.3,8,0,per 100g
"Mutton, roasting piece, with bone, leg, lean, roasted, no added fat",792,29.8,7.7,0,0,56,5.9,0,0.5,1.9,0.7,0,8,3.4,8,10,per 100g
"Mutton, roasting piece, with bone, leg, semi-trimmed, raw",634,20.8,7.6,0,0,77,4.66,16,0.76,2.8,2.86,0,11,4.08,8,0.6,per 100g
"Mutton, roasting piece, with bone, leg, semi-trimmed, roasted, no added fat",919,28.5,11.7,0,0,56,5.9,0,0.49,1.8,0.76,0,8,3.4,8,9.3,per 100g
"Mutton, roasting piece, with bone, leg, untrimmed, raw",811,19.6,12.9,0,0,73,4.31,14,0.7,2.8,2.66,0,16,3.77,8,1.5,per 100g
"Mutton, roasting piece, with bone, leg, untrimmed, roasted, no added fat","1,092",26.8,17.2,0,0,57,5.9,0,0.47,1.8,0.84,0,8,3.4,8,8.4,per 100g
"Goat, all cuts, separable fat, raw","1,855",12.2,44.6,0,0,45,1.2,20,0.02,1.5,3.5,0,66,2,13,5.6,per 100g
"Goat, all cuts, separable fat, baked, no added fat","2,556",10,64.5,0,0,40,2.65,8,0.1,3,4.2,0,42,1.25,7,9.7,per 100g
"Goat, forequarter, lean, raw",432,21.6,1.8,0,0,74,5.1,32,0.04,1.3,2.7,0,6,2.35,10,11.5,per 100g
"Goat, forequarter, lean, baked, no added fat",676,30.8,4.2,0,0,74,7.55,21,0.02,2.8,2.2,0,6,3.4,10,16.5,per 100g
"Goat, leg, lean, raw",456,22.2,2.1,0,0,64,3.9,23,0.04,1,2.7,0,0,2.5,6,12,per 100g
"Goat, leg, lean, baked, no added fat",695,33.8,3.2,0,0,60,6.15,14,0.02,2.7,2.2,0,0,3.85,8,19.5,per 100g
"Goat, loin, lean, raw",432,22.2,1.4,0,0,76,3.5,8,0.05,0.6,2.7,0,0,2.95,10,11.5,per 100g
"Goat, loin, lean, baked, no added fat",612,29.2,3.1,0,0,84,4.15,23,0.02,2.3,2.2,0,0,2.95,16,14,per 100g
"Goat, meat, all cuts, lean, raw",440,22,1.8,0,0,72,4.17,21,0.04,1,2.7,0,2,2.6,9,11.7,per 100g
"Goat, meat, all cuts, lean, baked, no added fat",661,31.3,3.5,0,0,73,5.95,19,0.02,2.6,2.2,0,2,3.4,11,16.7,per 100g
"Goat, meat, all cuts, lean, casseroled, no added fat",871,43.6,3.5,0,0,78,7.84,23,0.04,1.1,4.81,0,3,4.89,17,21.9,per 100g
"Goat, meat, all cuts, untrimmed, raw",566,21.2,5.6,0,0,69,3.9,21,0.04,1,2.77,0,8,2.55,9,11.1,per 100g
"Goat, meat, all cuts, untrimmed, casseroled, no added fat ","1,011",37.8,10,0,0,68,6.62,20,0.04,1.1,4.45,0,10,4.32,16,18.9,per 100g
"Goat, meat, all cuts, untrimmed, baked, no added fat",847,29.2,9.5,0,0,70,5.63,18,0.03,2.6,2.4,0,6,3.19,11,16,per 100g
"Pork, belly, rind removed, raw","1,286",18.6,26.2,0,0,58,1.4,0,0.1,0.4,1.71,0,15,0.45,6,16,per 100g
"Pork, belly, rind removed, baked, no added fat","1,606",27.4,30.8,0,0,68,2.06,0,0.11,0.4,2.26,0,16,0.66,8,23.5,per 100g
"Pork, butterfly steak, lean, raw",469,24.1,1.6,0,0,46,1.55,57,0.57,0.2,0.4,0,0,0.54,6,27.5,per 100g
"Pork, butterfly steak, lean, grilled, no added fat",656,32.5,2.8,0,0,46,2.61,8,0.46,0.3,0.4,0,0,0.7,6,33.5,per 100g
"Pork, butterfly steak, untrimmed, raw",643,22.7,7,0,0,44,1.46,53,0.54,0.3,0.81,0,2,0.54,6,25.8,per 100g
"Pork, butterfly steak, untrimmed, grilled, no added fat",825,30.6,8.2,0,0,45,2.44,8,0.43,0.4,0.85,0,1,0.67,7,32.4,per 100g
"Pork, diced, untrimmed, raw",502,22.8,3.1,0,0,59,2.4,4,0.44,0.5,0.4,0,0,0.84,6,18.5,per 100g
"Pork, diced, untrimmed, fried, no added fat",647,31.3,3.1,0,0,90,3.75,22,0.35,0.7,0.4,0,0,1.15,7,29,per 100g
"Pork, fillet, lean, raw",433,23.1,1.1,0,0,42,1.75,32,0.73,0.3,0.4,0,0,0.86,4,17.5,per 100g
"Pork, fillet, fully-trimmed, baked, no added fat",566,28.5,2.2,0,0,44,2.4,44,0.63,0.2,0.4,0,0,0.98,4,28.5,per 100g
"Pork, forequarter (chop, roast, neck), separable fat, raw","2,042",9.6,50.8,0,0,47,0.9,4,0.3,0.4,5.5,0,50,0.9,26,0,per 100g
"Pork, forequarter, separable fat, BBQ'd, no added fat","2,179",11.5,53.6,0,0,86,0.9,8,0.29,0.9,6,0,46,1,28,16.8,per 100g
"Pork, forequarter chop, lean, raw",476,19.5,3.9,0,0,73,3,45,0.63,0.5,0.4,0,0,1.2,16,12,per 100g
"Pork, forequarter chop, lean, BBQ'd, no added fat",680,26.3,6.3,0,0,73,4,43,0.55,0.7,0.4,0,0,1.6,22,33.5,per 100g
"Pork, forequarter chop, semi-trimmed, BBQ'd, no added fat",771,25.4,9.2,0,0,74,3.81,41,0.53,0.7,0.74,0,3,1.56,22,32.5,per 100g
"Pork, forequarter chop, untrimmed, raw",785,17.5,13.2,0,0,68,2.58,37,0.56,0.5,1.41,0,10,1.14,18,9.6,per 100g
"Pork, forequarter chop, untrimmed, BBQ'd, no added fat",988,23.3,16,0,0,76,3.36,36,0.5,0.7,1.55,0,9,1.48,23,30.1,per 100g
"Pork, forequarter shoulder roast, lean, raw",447,19.6,3.1,0,0,75,2.7,45,0.63,0.3,0.4,0,0,1.1,11,15,per 100g
"Pork, forequarter shoulder roast, lean, BBQ'd, no added fat",658,24.8,6.4,0,0,76,3.7,43,0.55,0.5,0.4,0,0,1.6,15,33.5,per 100g
"Pork, forequarter shoulder roast, semi-trimmed, BBQ'd, no added fat",748,24,9.2,0,0,76,3.53,41,0.53,0.5,0.73,0,3,1.56,16,32.5,per 100g
"Pork, forequarter shoulder roast, untrimmed, raw",762,17.6,12.5,0,0,69,2.34,37,0.56,0.3,1.41,0,10,1.06,14,12,per 100g
"Pork, forequarter shoulder roast, untrimmed, BBQ'd, no added fat",901,22.6,14,0,0,78,3.25,37,0.51,0.6,1.3,0,7,1.5,17,30.8,per 100g
"Pork, leg roast, untrimmed, raw",685,21.6,8.6,0,0,48,2.31,32,0.31,0.8,1.28,0,4,0.8,4,17,per 100g
"Pork, leg roast, untrimmed, baked, no added fat",926,31.2,10.7,0,0,54,3.29,2,0.28,0.8,1.47,0,4,1.37,6,29.4,per 100g
"Pork, leg steak (rump), separable fat, raw","2,603",8.6,66.4,0,0,23,0.46,4,0.3,0.9,5.5,0,26,0.6,3,4.8,per 100g
"Pork, leg steak (rump), separable fat, fried, no added fat","2,191",12,53.7,0,0,36,0.58,8,0.29,1.4,6,0,35,0.66,4,23.8,per 100g
"Pork, leg steak (round, rump, topside, silverside), lean, raw",466,23.5,1.8,0,0,50,1.76,45,0.63,0.2,0.4,0,0,0.81,4,17.1,per 100g
"Pork, leg steak (round, rump, topside, silverside), lean, fried, no added fat",589,28.8,2.7,0,0,54,2.51,43,0.55,0.4,0.4,0,0,0.97,5,23.1,per 100g
"Pork, leg steak (round, rump, topside, silverside), untrimmed, raw",486,23.3,2.4,0,0,49,1.75,44,0.63,0.2,0.45,0,0,0.81,4,17,per 100g
"Pork, leg steak (round, rump, topside, silverside), untrimmed, fried, no added fat",603,28.6,3.1,0,0,54,2.5,42,0.55,0.5,0.45,0,0,0.97,5,23.1,per 100g
"Pork, loin chop, separable fat, raw","2,694",7.9,69.2,0,0,24,0.37,4,0.06,1.1,5.5,0,17,0.29,16,6,per 100g
"Pork, loin chop, separable fat, BBQ'd, no added fat","2,765",8.8,70.7,0,0,33,0.43,8,0.07,1.1,6,0,17,0.36,17,20.4,per 100g
"Pork, loin chop, lean, raw",461,23.2,1.8,0,0,52,1.29,36,0.34,0.2,0.4,0,0,0.46,11,0,per 100g
"Pork, loin chop, lean, BBQ'd, no added fat",687,30.6,4.5,0,0,58,1.8,20,0.3,0.2,0.4,0,0,0.64,16,35,per 100g
"Pork, loin chop, semi-trimmed, raw",573,22.4,5.2,0,0,51,1.24,34,0.33,0.2,0.66,0,1,0.45,11,0.3,per 100g
"Pork, loin chop, semi-trimmed, BBQ'd, no added fat",790,29.5,7.8,0,0,57,1.73,19,0.28,0.3,0.68,0,1,0.63,16,34.3,per 100g
"Pork, loin chop, untrimmed, raw",705,21.5,9.2,0,0,49,1.19,32,0.31,0.3,0.96,0,2,0.44,11,0.7,per 100g
"Pork, loin chop, untrimmed, BBQ'd, no added fat",930,28,12.2,0,0,55,1.64,18,0.27,0.3,1.06,0,2,0.61,16,33.3,per 100g
"Pork, loin cutlet, untrimmed, raw",843,21,13.1,0,0,42,1.37,49,0.5,0.4,1.28,0,5,0.53,5,23.8,per 100g
"Pork, loin cutlet, untrimmed, fried, no added fat","1,240",30.9,19.3,0,0,61,2.01,72,0.72,0.5,1.69,0,6,0.75,8,35,per 100g
"Pork, loin roast, separable fat, raw","2,941",5.2,77.1,0,0,27,0.22,11,0.05,1.1,5.5,0,28,0.16,4,3.8,per 100g
"Pork, loin roast, separable fat, baked, no added fat","2,629",8.8,67,0,0,40,0.44,8,0.17,0.4,6,0,2,0.27,3,20.1,per 100g
"Pork, loin roast, lean, raw",478,23.3,2.2,0,0,52,1.6,36,0.12,0.5,0.4,0,0,0.41,6,25,per 100g
"Pork, loin roast, lean, baked, no added fat",860,31.9,8.6,0,0,57,2.55,15,0.17,0.4,0.4,0,0,0.52,7,43.5,per 100g
"Pork, loin roast, untrimmed, raw",943,19.9,16.4,0,0,47,1.34,31,0.11,0.6,1.36,0,5,0.36,6,21,per 100g
"Pork, loin roast, untrimmed, baked, no added fat","1,093",28.8,16.3,0,0,55,2.27,14,0.17,0.4,1.14,0,0,0.49,6,40.4,per 100g
"Pork, medallion or loin steak, separable fat, raw","2,642",6.3,68.5,0,0,22,0.48,11,0.15,0.9,5.5,0,30,0.48,5,5.9,per 100g
"Pork, medallion or loin steak, separable fat, fried, no added fat","2,307",14.9,55.5,0,0,47,0.91,11,0.15,1,6,0,24,0.7,16,21.4,per 100g
"Pork, medallion or loin steak, lean, raw",469,24.1,1.6,0,0,46,1.55,57,0.57,0.2,0.4,0,0,0.54,6,27.5,per 100g
"Pork, medallion or loin steak, lean, fried, no added fat",631,29.5,3.5,0,0,52,1.85,8,0.46,0.3,0.4,0,0,0.63,6,33.8,per 100g
"Pork, medallion or loin steak, untrimmed, raw",615,22.9,6.1,0,0,44,1.48,54,0.54,0.3,0.74,0,2,0.54,6,26,per 100g
"Pork, medallion or loin steak, untrimmed, fried, no added fat",891,33.2,8.8,0,0,58,2.14,66,0.58,0.4,0.97,0,2,0.63,6,37.8,per 100g
"Pork, mince, untrimmed, raw",748,20.9,10.6,0,0,58,2.2,9,0.41,0.5,0.4,0,5,0.93,8,13.5,per 100g
"Pork, mince, as purchased, fried, no added fat",849,25.9,11,0,0,59,3.02,10,0.42,0.6,0.4,0,2,1.22,12,26.2,per 100g
"Pork, round mini roast, separable fat, raw","1,842",11.3,44.6,0,0,38,0.94,3,0.18,1,5.5,0,24,0.64,5,7.3,per 100g
"Pork, round mini roast, separable fat, baked, no added fat","1,961",16.3,45.5,0,0,54,1.55,7,0.22,1,6,0,19,1.45,6,22.8,per 100g
"Pork, round mini roast, lean, raw",444,23.7,1.1,0,0,50,2.6,38,0.34,0.7,0.4,0,0,0.83,4,19,per 100g
"Pork, round mini roast, lean, baked, no added fat",682,34.7,2.5,0,0,54,3.7,2,0.3,0.7,0.4,0,0,1.35,6,31,per 100g
"Pork, round mini roast, untrimmed, raw",472,23.4,2,0,0,50,2.57,37,0.34,0.7,0.5,0,0,0.83,4,18.8,per 100g
"Pork, round mini roast, untrimmed, baked, no added fat",699,34.5,3,0,0,54,3.67,2,0.3,0.7,0.47,0,0,1.35,6,30.9,per 100g
"Pork, round steak, lean, raw",416,22.1,1.1,0,0,48,2,41,0.68,0.2,0.4,0,0,0.88,4,10.5,per 100g
"Pork, round steak, lean, fried, no added fat",563,29.4,1.7,0,0,51,2.9,25,0.59,0.4,0.4,0,0,1.1,5,23.2,per 100g
"Pork, rump steak, lean, raw",508,25.3,2.1,0,0,50,1.7,35,0.71,0.2,0.4,0,0,0.84,5,16.5,per 100g
"Pork, rump steak, lean, fried, no added fat",627,28.6,3.8,0,0,52,2.4,27,0.6,0.4,0.4,0,0,0.94,5,28.8,per 100g
"Pork, rump steak, untrimmed, raw",568,24.8,4,0,0,49,1.66,34,0.7,0.2,0.55,0,1,0.83,5,16.2,per 100g
"Pork, rump steak, untrimmed, fried, no added fat",836,36.5,5.8,0,0,65,2.45,43,0.75,0.3,0.72,0,1,0.97,5,23.8,per 100g
"Pork, scotch roast, separable fat, raw","2,124",10.7,52.5,0,0,30,1.04,4,0.22,1,5.5,0,17,0.56,8,5.7,per 100g
"Pork, scotch roast, separable fat, baked, no added fat","2,076",12.2,50.5,0,0,41,1.45,3,0.14,1,6,0,5,0.88,9,20.7,per 100g
"Pork, scotch roast, lean, raw",631,20.6,7.6,0,0,49,2.7,12,0.35,0.7,0.4,0,0,0.78,4,13,per 100g
"Pork, scotch roast, lean, baked, no added fat",964,30.6,12,0,0,57,4.6,11,0.24,0.9,0.4,0,0,1.35,8,12,per 100g
"Pork, scotch roast, untrimmed, raw",893,18.9,15.4,0,0,46,2.41,11,0.33,0.7,1.29,0,3,0.74,5,11.7,per 100g
"Pork, scotch roast, untrimmed, baked, no added fat","1,024",29.6,14.1,0,0,56,4.43,10,0.23,0.9,0.7,0,0,1.32,8,12.5,per 100g
"Pork, silverside steak, lean, raw",456,22.5,2,0,0,53,1.85,52,0.51,0.5,0.4,0,0,0.79,4,25,per 100g
"Pork, silverside steak, lean, fried, no added fat",585,27.9,3,0,0,59,2.55,76,0.45,0.5,0.4,0,0,0.97,5,32.5,per 100g
"Pork, silverside steak, untrimmed, raw",475,22.4,2.6,0,0,53,1.84,52,0.51,0.5,0.44,0,0,0.79,4,24.8,per 100g
"Pork, spare ribs, untrimmed, raw","1,198",18.1,24,0,0,43,0.99,25,0.25,0.5,2.08,0,6,0.4,12,2,per 100g
"Pork, spare ribs, untrimmed, baked, no added fat","1,663",27.4,32.4,0,0,54,1.49,37,0.28,0.6,2.55,0,4,0.6,17,2.7,per 100g
"Pork, strips, untrimmed, raw",466,22.4,2.3,0,0,46,2.05,20,0.51,0.4,0.4,0,0,0.75,4,26.5,per 100g
"Pork, strips, untrimmed, fried, no added fat",623,31.2,2.5,0,0,58,2.65,30,0.26,0.6,0.4,0,0,0.9,5,37.5,per 100g
"Pork, topside steak, lean, raw",482,24,2,0,0,48,1.5,51,0.62,0.1,0.4,0,0,0.73,4,16.5,per 100g
"Pork, topside steak, lean, fried, no added fat",582,29.2,2.3,0,0,55,2.2,43,0.57,0.6,0.4,0,0,0.86,5,28.8,per 100g
"Pork, topside steak, untrimmed, fried, no added fat",583,29.2,2.4,0,0,55,2.2,43,0.57,0.6,0.4,0,0,0.86,5,28.7,per 100g
"Chicken, barbecued, with skin",806,27.5,8.9,0,0,430,0.76,16,0.37,0.2,6.37,0,24,0.47,10,21,per 100g
"Chicken, breast, lean flesh, raw",412,22.5,0.8,0,0,48,0.52,0,0.51,0.1,3.7,0,4,0.26,4,17,per 100g
"Chicken, breast, lean flesh, baked, no added fat",637,29,3.9,0,0,46,0.83,3,0.2,0.2,6,0,7,0.5,9,26.1,per 100g
"Chicken, breast, lean flesh, grilled, no added fat",598,29.8,2.5,0,0,43,0.68,54,0.21,0.5,6,0,0,0.4,5,34.6,per 100g
"Chicken, breast, lean flesh, fried, no added fat",663,34.5,1.8,0.7,0.7,55,0.73,2,0.44,0.2,6,0,6,0.37,5,22.8,per 100g
"Chicken, breast, lean flesh, casseroled, no added fat",596,27,3.7,0,0,41,0.9,0,0.3,0.2,6,0,5,0.4,11,20,per 100g
"Chicken, breast, lean flesh, skin & fat, raw",666,20.2,8.7,0,0,46,0.53,0,0.44,0.2,4.27,0,24,0.34,6,13.9,per 100g
"Chicken, breast, lean flesh, skin & fat, baked, no added fat",785,27.7,8.5,0,0,48,0.87,3,0.2,0.3,6.13,0,20,0.57,13,25.8,per 100g
"Chicken, breast, lean flesh, skin & fat, casseroled, no added fat",701,26,7,0,0,41,0.91,0,0.33,0.3,6.11,0,14,0.44,11,19.7,per 100g
"Chicken, drumstick, lean flesh, raw",492,18.5,4.8,0,0,71,1.7,0,0.33,0.7,3.7,0,16,0.6,10,20,per 100g
"Chicken, drumstick, lean flesh, baked, no added fat",830,29.9,8.5,0.4,0.4,120,2.8,23,0.2,0.7,6,0,27,1.6,24,30.1,per 100g
"Chicken, drumstick, lean flesh, casseroled, no added fat",730,28.6,6.6,0,0,74,2.4,0,0.16,0.7,6,0,16,0.9,17,30,per 100g
"Chicken, drumstick, lean flesh, skin & fat, raw",645,17.6,9.3,0,0,67,1.56,0,0.3,0.7,4.14,0,29,0.61,10,17.3,per 100g
"Chicken, drumstick, lean flesh, skin & fat, baked, no added fat",979,28.5,13.2,0.3,0.3,113,2.58,20,0.2,0.7,6.2,0,41,1.53,28,29.6,per 100g
"Chicken, drumstick, lean flesh, skin & fat, casseroled, no added fat",873,26.9,11.2,0,0,70,2.21,0,0.22,0.7,6.18,0,28,0.89,16,28.3,per 100g
"Chicken, mince, raw",404,21.4,1.1,0,0,49,0.69,0,0.33,0.3,3.7,0,5,0.39,4,19,per 100g
"Chicken, mince, fried, no added fat",532,28.1,1.4,0,0,52,0.91,0,0.35,0.3,4.38,0,5,0.46,6,25,per 100g
"Chicken, schnitzel, baked without fat",868,16.5,9.6,13.1,2.1,529,0.59,6,0.14,0.1,0,0,6,0.5,8,16.5,per 100g
"Chicken, nugget, purchased frozen, baked, no added fat","1,172",12.8,17.6,17.3,0.8,920,0.88,7,0.49,0.2,4.38,0,28,0.74,13,11,per 100g
"Chicken, nugget, purchased from independent takeaway & fast food chain, fried, undefined oil","1,104",13.1,15.8,16.8,0,740,0.88,7,0.49,0.2,4.38,0,28,0.74,13,11,per 100g
"Chicken, nugget, purchased from fast food chain, grilled",818,14.8,5.9,19.9,0.9,434,0.88,7,0.49,0.2,4.38,0,28,0.74,13,11,per 100g
"Chicken, separable fat, composite, raw","2,392",5.1,62.3,0,0,22,0.3,0,0.11,0.7,6.9,0,115,0.7,9,0,per 100g
"Chicken, separable fat, composite, cooked, no added fat","2,036",4.3,53,0,0,13,0.26,0,0.05,0.3,5.28,0,73,0.54,6,0,per 100g
"Chicken, skin, composite, raw","1,515",12.7,35.1,0,0,43,0.7,0,0.11,0.7,6.9,0,110,0.7,13,0,per 100g
"Chicken, skin, composite, baked, no added fat","1,818",22.3,38.9,0,0,78,1.5,0,0.2,0.7,7.6,0,130,1.2,54,30,per 100g
"Chicken, skin, composite, casseroled, no added fat","1,742",18,38.8,0,0,51,1.1,0,0.69,0.7,7.6,0,110,0.9,13,20,per 100g
"Chicken, thigh, lean flesh, raw",436,19.1,3,0,0,64,1.4,32,0.24,0.4,3.7,0,13,0.56,6,21,per 100g
"Chicken, thigh, lean flesh, baked, no added fat",733,24.2,8.7,0,0,76,2,0,0.3,0.7,6,0,24,0.9,18,30,per 100g
"Chicken, thigh, lean flesh, fried, no added fat",662,27.6,5.2,0,0,84,2,26,0.05,0.3,6,0,10,0.82,8,32,per 100g
"Chicken, thigh, lean flesh, casseroled, no added fat",810,26.3,9.8,0,0,62,2.1,0,0.25,0.7,6,0,17,0.9,15,30,per 100g
"Chicken, thigh, lean flesh, skin & fat, raw",898,16,16.9,0,0,54,1.12,22,0.2,0.5,4.69,0,44,0.6,7,14.5,per 100g
"Chicken, thigh, lean flesh, skin & fat, baked, no added fat",947,23,15,0,0,73,1.85,0,0.27,0.7,6.19,0,41,0.92,22,28.6,per 100g
"Chicken, thigh, lean flesh, skin & fat, casseroled, no added fat","1,004",24.1,16.1,0,0,58,1.87,0,0.31,0.7,6.2,0,33,0.88,14,27.1,per 100g
"Chicken, wing, lean flesh, raw",470,18.7,4.1,0,0,66,1.1,0,0.52,0.7,6,0,37,0.4,13,20,per 100g
"Chicken, wing, lean flesh, baked, no added fat",810,30.9,7.7,0,0,84,1.9,0,0.4,0.7,6,0,21,0.7,13,30,per 100g
"Chicken, wing, lean flesh, casseroled, no added fat",800,27.9,8.8,0,0,70,1.6,0,0.28,0.7,6,0,22,0.7,13,20,per 100g
"Chicken, wing, lean flesh, skin & fat, raw",917,16.1,17.4,0,0,56,0.93,0,0.35,0.7,6.37,0,67,0.52,13,11.7,per 100g
"Chicken, wing, lean flesh, skin & fat, baked, no added fat","1,100",28.1,16.8,0,0,81,1.76,0,0.34,0.7,6.41,0,51,0.83,24,29.4,per 100g
