Food-Name,"Energy-
-kJ","Protein-
-g","Fat
-g","carbohydrate
-g",sugars-g,"Sodium-Na-
-mg","Zinc-Zn-
-mg","Folate
-ug","Pyridoxine-B6-
-mg","Cobalamin-B12-
-ug","Vitamin-D3
-ug","Vitamin-C-
-mg","Vitamin-A
-ug","Iron-Fe-
-mg","Calcium-Ca-
-mg","Selenium-Se-
-ug",per-100g
"Cordial base, 25% citrus fruit juice, regular",606,0,0,37.3,37.3,12,0,10,0.02,0,0,4,1,0,3,0,per 100g
"Cordial, 25% citrus fruit juice, regular, recommended dilution",142,0,0,8.7,8.7,5,0,2,0,0,0,1,0,0,2,0,per 100g
"Cordial base, 40% citrus fruit juice, regular",659,0.2,0,40.2,40.2,43,0,10,0.02,0,0,8,2,0.1,4,0,per 100g
"Cordial, 40% citrus fruit juice, regular, recommended dilution",154,0,0,9.4,9.4,12,0,2,0,0,0,2,0,0.03,2,0,per 100g
"Cordial base, blackcurrant juice, regular",731,0.1,0,45,45,0,0.06,1,0.04,0,0,74,0,0.33,6,0,per 100g
"Cordial, blackcurrant juice, regular, recommended dilution",151,0,0,9.3,9.3,2,0.02,0,0.01,0,0,15,0,0.07,2,0,per 100g
"Fruit drink, apple juice",137,0.1,0,8.2,7.8,5,0,0,0,0,0,31,0,0,2,0,per 100g
"Fruit drink, cranberry",182,0,0,11.3,11.3,16,0.1,1,0.05,0,0,16,4,0.25,8,0.1,per 100g
"Fruit drink, orange juice",163,0.2,0,9.6,9.6,9,0.01,8,0.01,0,0,5,8,0.05,8,0.5,per 100g
"Juice, apple, commercial, added vitamin C",121,0.2,0,7,7,6,0.02,32,0,0,0,33,0,0.05,6,0.5,per 100g
"Juice, apple & blackcurrant, commercial",162,0.2,0,9.3,9.3,6,0.01,0,0,0,0,27,0,0,5,0,per 100g
"Juice, lemon",115,0.6,0.2,1.8,1.8,2,0.1,8,0.08,0,0,46,2,0.3,20,0.4,per 100g
"Juice, lime",122,0.8,0.2,1.2,1.2,3,0.1,6,0.04,0,0,45,5,0.3,22,0.4,per 100g
"Juice, orange, commercial",112,0.8,0,5.4,5.4,2,0.03,51,0,0,0,69,2,0.04,7,0.2,per 100g
"Juice, orange & mango, commercial",146,0.6,0,7.7,7.7,4,0.04,26,0,0,0,82,8,0,9,0,per 100g
"Water, coconut, commercial",54,0.2,0,3.2,3.2,36,0.02,0,0,0,0,10,0,0,12,0,per 100g
"Mineral water, natural, unflavoured",0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,per 100g
"Mineral water, citrus flavoured",152,0,0,9.3,9.3,15,0,1,0,0,0,0,0,0.06,5,0,per 100g
"Soft drink, cola flavour",206,0,0.2,12.3,12.3,2,0,0,0,0,0,0,0,0,1,0,per 100g
"Soft drink, cola flavour, decaffeinated",206,0,0.2,12.3,12.3,2,0,0,0,0,0,0,0,0,1,0,per 100g
